"","seqnames","start","end","0h_1","0h_2","0h_2re","0h_3","0h_3re","0.5h_1","0.5h_2","0.5h_3","1h_1","1h_2","1h_3","3h_1","3h_2","3h_3","24h_1","24h_2","24h_3","76h_1","76h_2","76h_3"
"54","Tb927_04_v5.1",17880,18280,2797.23494540368,1650.3158310721,1970.54920042808,1227.87577904774,2788.90910960456,1234.01278947774,1781.91960754919,2495.61239353711,4681.10144820492,3041.83154616632,5429.99794349239,6634.46477210636,7171.84291580846,6993.48507270499,3156.02239759466,5909.18450380799,1410.34783562684,5118.43727183594,5013.17440122817,4984.88771703353
"55","Tb927_04_v5.1",1951,2351,384.333463836174,355.424161038523,428.992569197097,296.111522278394,461.164152035451,330.922569952067,473.517098509575,378.496084346565,1347.74291560568,853.019586335422,943.564983551944,1400.6092296669,1573.41451724369,1114.76952722114,1800.04665688693,1217.99841883519,375.384132370334,672.167136386909,660.480522173809,594.256384220098
"56","Tb927_04_v5.1",24975,25375,1182.27082087353,584.043347956532,1018.85735184311,387.483077724299,1093.185842366,264.401239096562,459.81002460535,499.737919494976,913.231610105817,1386.61056161758,1196.81062627638,1446.68190169541,1659.40345016282,1421.17717351535,1142.10881117661,1030.18278232895,332.307264721279,409.620840799979,464.996794945484,640.423712874648
"57","Tb927_04_v5.1",314439,314839,1272.62736369594,1006.10953918978,744.778765967183,644.113063698907,1184.66266596648,608.796483652275,659.185645030435,1285.04036441565,3567.03467073143,2370.30548883843,2887.25742923388,4872.95294488275,5124.57449162742,3853.9615008764,2397.09183516131,3784.34491467779,858.180713943505,3507.91022714759,3608.93034883062,3704.04029128424
"58","Tb927_04_v5.1",325861,326261,604.497997755571,427.619693749473,730.154019290009,1004.52308795775,796.075167366115,211.352582844704,692.207232163339,814.228161935781,1798.6747064878,1667.92553157926,1542.61305212852,4361.54628536622,5900.30443966385,1980.10167404197,3104.04085222251,1794.05981140281,841.95695859516,1493.83980220526,1435.47518041628,1356.60919584907
"59","Tb927_04_v5.1",535170,535570,1370.61967070053,864.495225025991,796.777865263801,525.66845478755,1330.57197964327,578.903986875434,540.183321589212,1142.2581017028,3152.73319339435,2649.80552351004,2766.41940681714,4217.18524634353,4676.33430938939,3952.50466350368,2713.43666842609,4200.62285529235,777.061937201779,3720.62134625738,3719.97435956387,3853.19627616817
"60","Tb927_04_v5.1",946296,946696,1373.16492542792,687.708728259434,479.908353925036,557.817705777775,905.696154325361,477.016885185358,474.763196137232,1161.95220690458,2773.79891534215,2079.91584242637,2961.81706008676,3963.78555018669,4495.20868472994,3521.37832700932,3421.87087249793,3906.28491748408,735.103949231921,3831.23112819446,3849.52570541933,3732.45095507165
"61","Tb927_04_v5.1",966845,967245,785.211083400395,597.927104247099,407.326277823507,449.525491915963,756.762813422109,464.807273825803,513.392222594592,1123.79487807614,1720.36162235702,951.026091999492,1811.28482537424,3171.33559129621,3525.54624968441,2400.44985212397,1719.84655831276,2274.81177648965,573.985275427664,2461.37152112747,2400.17002366139,2403.06864535219
"62","Tb927_04_v5.1",970532,970932,544.684511661862,469.270962621175,359.660436801607,435.988965183236,514.084628498536,486.700370056729,501.554295131852,778.532596257568,1153.22331953888,635.227351526378,1230.23390907249,2130.09320345174,2404.03101820722,1670.61455391566,1099.03838786826,1516.54118432643,506.293054836292,1761.24806622899,1814.87555042155,1570.87295191249
"63","Tb927_05_v5.1",107291,107691,771.21218239974,1092.18882819129,759.945169928697,813.883669805187,1048.58144077569,852.567689762004,982.547979407368,1294.88741701654,2940.52999768512,1651.59111396858,2482.32150305014,4197.22042179784,4301.27619772084,3267.32173586085,1927.77273980135,2194.92005051312,875.523348971047,1261.6808093483,1169.43223803454,1150.63188339031
